,episode,num_steps,score,reverse_score,success,critic_loss,actor_loss,alpha_loss,alpha,log_prob,env_buffer,demo_buffer,reverse_buffer,train_time,episode_time,total_time
44,44.0,500.0,0.0,0.0,0.0,0.10353312641382217,-14.3490020942688,0.00019398341877422353,0.019753625772835036,3.980595111846924,22500.0,5000.0,0.0,7.4531636238098145,17.859564065933228,2663.3461170196533
45,45.0,500.0,0.0,0.0,0.0,0.11133825778961182,-14.654159255981446,0.00010295551592844277,0.01962180635968098,3.9897522926330566,23000.0,5000.0,0.0,7.42022705078125,17.79848837852478,2697.606814146042
46,46.0,500.0,0.0,0.0,0.0,0.12743091583251953,-15.15294312286377,-0.0009458151360668126,0.020961895679855,4.093597888946533,23500.0,5000.0,0.0,7.512765407562256,18.69853687286377,2732.626892566681
47,47.0,500.0,0.0,0.0,0.0,0.1046353131532669,-15.686141754150391,-0.0010676814557143643,0.022780382485566377,4.097942352294922,24000.0,5000.0,0.0,7.395624160766602,17.474868774414062,2767.526731491089
48,48.0,500.0,0.0,0.0,0.0,0.11405757814645767,-16.07632819747925,-0.0005763030289526796,0.023899818392369314,4.049553394317627,24500.0,5000.0,0.0,7.366320371627808,16.52479648590088,2801.173610687256
49,49.0,500.0,0.0,0.0,0.0,0.10669572651386261,-16.512949306488036,-0.00029893067829834765,0.0247061193062802,4.02496862411499,25000.0,5000.0,0.0,7.433905839920044,16.45838975906372,2834.5674200057983
50,50.0,500.0,0.0,0.0,0.0,0.10537000745534897,-16.96023538208008,5.030295909455162e-05,0.024390606517176765,3.9961190223693848,25500.0,5000.0,0.0,7.418307542800903,16.785672664642334,2868.516315460205
51,51.0,500.0,0.0,0.0,0.0,0.10364335030317307,-17.406273780822755,-0.0008725119809751049,0.026567644750345256,4.068840503692627,26000.0,5000.0,0.0,7.445351600646973,18.437395811080933,2904.6737563610077
52,52.0,500.0,0.0,0.0,0.0,0.10293304920196533,-17.772960876464843,-0.0001971936258196365,0.027228382276971295,4.0149335861206055,26500.0,5000.0,0.0,7.404041767120361,17.724215984344482,2938.121269464493
53,53.0,500.0,0.0,0.0,0.0,0.1046229675412178,-18.04855136871338,0.0005641198184093809,0.025480100265654074,3.9578559398651123,27000.0,5000.0,0.0,7.403075933456421,17.094075441360474,2971.6478826999664
54,54.0,500.0,0.0,0.0,0.0,0.10496384650468826,-18.3354775390625,-7.386435119838097e-05,0.02588632188675478,4.005894184112549,27500.0,5000.0,0.0,7.45520806312561,17.68911862373352,3004.996783733368
55,55.0,500.0,0.0,0.0,0.0,0.09774170070886612,-18.59210925292969,-0.000298816594933669,0.026589532314243967,4.022953033447266,28000.0,5000.0,0.0,7.429769515991211,17.615903854370117,3038.632219314575
56,56.0,500.0,0.0,0.0,0.0,0.09572381526231766,-18.915073295593263,0.00016094806768342097,0.026233856890754945,3.9879682064056396,28500.0,5000.0,0.0,7.496003866195679,17.985021114349365,3073.2734582424164
57,57.0,500.0,0.0,0.0,0.0,0.09555002301931381,-19.17119548034668,-0.000281083070249224,0.026858048616794552,4.0213775634765625,29000.0,5000.0,0.0,7.500162839889526,17.80764937400818,3107.723515510559
